observation_date,EXJPUS
2014-01-01,103.7614
2014-02-01,102.1253
2014-03-01,102.3395
2014-04-01,102.4582
2014-05-01,101.7738
2014-06-01,102.0629
2014-07-01,101.7400
2014-08-01,102.9438
2014-09-01,107.4257
2014-10-01,108.0264
2014-11-01,116.2994
2014-12-01,119.3233
2015-01-01,118.2500
2015-02-01,118.7600
2015-03-01,120.3945
2015-04-01,119.5095
2015-05-01,120.7980
2015-06-01,123.7186
2015-07-01,123.3109
2015-08-01,123.0038
2015-09-01,120.1476
2015-10-01,120.0481
2015-11-01,122.6432
2015-12-01,121.6350
2016-01-01,118.2258
2016-02-01,114.6155
2016-03-01,112.9317
2016-04-01,109.5519
2016-05-01,108.8481
2016-06-01,105.3509
2016-07-01,104.1910
2016-08-01,101.2383
2016-09-01,101.7843
2016-10-01,103.9075
2016-11-01,108.4430
2016-12-01,115.9981
2017-01-01,114.8721
2017-02-01,112.9116
2017-03-01,112.9165
2017-04-01,110.0910
2017-05-01,112.2436
2017-06-01,110.9141
2017-07-01,112.4170
2017-08-01,109.8270
2017-09-01,110.7760
2017-10-01,112.9148
2017-11-01,112.8190
2017-12-01,112.9405
2018-01-01,110.8710
2018-02-01,107.9700
2018-03-01,106.0468
2018-04-01,107.6562
2018-05-01,109.6882
2018-06-01,110.0638
2018-07-01,111.5210
2018-08-01,110.9965
2018-09-01,112.0974
2018-10-01,112.7218
2018-11-01,113.3380
2018-12-01,112.1994
2019-01-01,108.9605
2019-02-01,110.4400
2019-03-01,111.1443
2019-04-01,111.6414
2019-05-01,109.9714
2019-06-01,108.0685
2019-07-01,108.2864
2019-08-01,106.1886
2019-09-01,107.5400
2019-10-01,108.1368
2019-11-01,108.8579
2019-12-01,109.1010
2020-01-01,109.2667
2020-02-01,110.0295
2020-03-01,107.6673
2020-04-01,107.7386
2020-05-01,107.2000
2020-06-01,107.5782
2020-07-01,106.6818
2020-08-01,106.0129
2020-09-01,105.5890
2020-10-01,105.2095
2020-11-01,104.4061
2020-12-01,103.7952
2021-01-01,103.7883
2021-02-01,105.3774
2021-03-01,108.6991
2021-04-01,109.0445
2021-05-01,109.1120
2021-06-01,110.1073
2021-07-01,110.2143
2021-08-01,109.8527
2021-09-01,110.1610
2021-10-01,113.1215
2021-11-01,113.9650
2021-12-01,113.8329
2022-01-01,114.8255
2022-02-01,115.2763
2022-03-01,118.5774
2022-04-01,126.3743
2022-05-01,128.8486
2022-06-01,133.9619
2022-07-01,136.7090
2022-08-01,135.2835
2022-09-01,143.2843
2022-10-01,147.0515
2022-11-01,142.4450
2022-12-01,134.9148
2023-01-01,130.4475
2023-02-01,133.0463
2023-03-01,133.6643
2023-04-01,133.4745
2023-05-01,137.0532
2023-06-01,141.3581
2023-07-01,140.9360
2023-08-01,144.7804
2023-09-01,147.8450
2023-10-01,149.5933
2023-11-01,149.6790
2023-12-01,143.9815
2024-01-01,146.2943
2024-02-01,149.6150
2024-03-01,149.8186
2024-04-01,153.8900
2024-05-01,155.8691
2024-06-01,157.8600
2024-07-01,157.5182
2024-08-01,146.2641
2024-09-01,142.9540
2024-10-01,149.8909
2024-11-01,153.7126
2024-12-01,153.8143
2025-01-01,156.4819
2025-02-01,151.5716
2025-03-01,149.0576
2025-04-01,144.1286
2025-05-01,144.8762
2025-06-01,144.4835
2025-07-01,147.2014
2025-08-01,147.4786
2025-09-01,147.8629
2025-10-01,151.3545
2025-11-01,155.1411
2025-12-01,155.9150
2026-01-01,156.6505
2026-02-01,155.1016
2026-03-01,158.6827
2026-04-01,159.1173
2026-05-01,158.1530
2026-06-01,160.7700
2026-07-01,162.3295
2026-08-01,158.8476
