observation_date,EXUSUK
2014-01-01,1.6470
2014-02-01,1.6558
2014-03-01,1.6624
2014-04-01,1.6748
2014-05-01,1.6842
2014-06-01,1.6908
2014-07-01,1.7066
2014-08-01,1.6700
2014-09-01,1.6290
2014-10-01,1.6074
2014-11-01,1.5771
2014-12-01,1.5644
2015-01-01,1.5142
2015-02-01,1.5329
2015-03-01,1.4958
2015-04-01,1.4968
2015-05-01,1.5456
2015-06-01,1.5576
2015-07-01,1.5560
2015-08-01,1.5578
2015-09-01,1.5338
2015-10-01,1.5343
2015-11-01,1.5194
2015-12-01,1.4981
2016-01-01,1.4392
2016-02-01,1.4290
2016-03-01,1.4249
2016-04-01,1.4319
2016-05-01,1.4524
2016-06-01,1.4197
2016-07-01,1.3134
2016-08-01,1.3101
2016-09-01,1.3140
2016-10-01,1.2330
2016-11-01,1.2432
2016-12-01,1.2483
2017-01-01,1.2367
2017-02-01,1.2495
2017-03-01,1.2347
2017-04-01,1.2639
2017-05-01,1.2929
2017-06-01,1.2810
2017-07-01,1.2996
2017-08-01,1.2952
2017-09-01,1.3340
2017-10-01,1.3202
2017-11-01,1.3217
2017-12-01,1.3404
2018-01-01,1.3824
2018-02-01,1.3961
2018-03-01,1.3976
2018-04-01,1.4079
2018-05-01,1.3470
2018-06-01,1.3294
2018-07-01,1.3162
2018-08-01,1.2878
2018-09-01,1.3066
2018-10-01,1.3012
2018-11-01,1.2900
2018-12-01,1.2664
2019-01-01,1.2901
2019-02-01,1.3016
2019-03-01,1.3167
2019-04-01,1.3029
2019-05-01,1.2855
2019-06-01,1.2675
2019-07-01,1.2461
2019-08-01,1.2160
2019-09-01,1.2369
2019-10-01,1.2657
2019-11-01,1.2884
2019-12-01,1.3109
2020-01-01,1.3076
2020-02-01,1.2953
2020-03-01,1.2369
2020-04-01,1.2420
2020-05-01,1.2302
2020-06-01,1.2523
2020-07-01,1.2701
2020-08-01,1.3143
2020-09-01,1.2947
2020-10-01,1.2980
2020-11-01,1.3198
2020-12-01,1.3434
2021-01-01,1.3641
2021-02-01,1.3867
2021-03-01,1.3863
2021-04-01,1.3845
2021-05-01,1.4084
2021-06-01,1.4025
2021-07-01,1.3808
2021-08-01,1.3797
2021-09-01,1.3732
2021-10-01,1.3701
2021-11-01,1.3463
2021-12-01,1.3303
2022-01-01,1.3555
2022-02-01,1.3540
2022-03-01,1.3168
2022-04-01,1.2933
2022-05-01,1.2438
2022-06-01,1.2320
2022-07-01,1.1987
2022-08-01,1.1983
2022-09-01,1.1320
2022-10-01,1.1332
2022-11-01,1.1727
2022-12-01,1.2180
2023-01-01,1.2237
2023-02-01,1.2084
2023-03-01,1.2138
2023-04-01,1.2446
2023-05-01,1.2484
2023-06-01,1.2627
2023-07-01,1.2893
2023-08-01,1.2706
2023-09-01,1.2381
2023-10-01,1.2175
2023-11-01,1.2437
2023-12-01,1.2657
2024-01-01,1.2701
2024-02-01,1.2630
2024-03-01,1.2713
2024-04-01,1.2517
2024-05-01,1.2636
2024-06-01,1.2716
2024-07-01,1.2870
2024-08-01,1.2945
2024-09-01,1.3219
2024-10-01,1.3043
2024-11-01,1.2738
2024-12-01,1.2647
2025-01-01,1.2354
2025-02-01,1.2542
2025-03-01,1.2913
2025-04-01,1.3144
2025-05-01,1.3358
2025-06-01,1.3577
2025-07-01,1.3489
2025-08-01,1.3456
2025-09-01,1.3506
2025-10-01,1.3357
2025-11-01,1.3139
2025-12-01,1.3387
2026-01-01,1.3536
2026-02-01,1.3579
2026-03-01,1.3339
2026-04-01,1.3454
2026-05-01,1.3498
2026-06-01,1.3338
2026-07-01,1.3383
2026-08-01,1.3547
